timestamp,relative_humidity
2017-06-20 10:02:04,99.9
2017-06-20 10:32:01,99.9
2017-06-20 11:02:04,99.9
2017-06-20 11:32:03,91.4
2017-06-20 12:02:03,92.8
2017-06-20 12:32:04,99.9
2017-06-20 13:02:03,96.1
2017-06-20 13:32:02,88.4
2017-06-20 14:02:02,74.7
2017-06-20 14:32:04,76.3
2017-06-20 15:02:03,77.0
2017-06-20 15:32:03,65.7
2017-06-20 16:02:04,86.4
2017-06-20 16:32:03,97.9
2017-06-20 17:02:03,92.2
2017-06-20 17:32:03,89.7
2017-06-20 18:02:04,82.7
2017-06-20 18:32:03,80.7
2017-06-20 19:02:04,69.0
2017-06-20 19:32:04,68.8
2017-06-20 20:02:03,71.4
2017-06-20 20:32:04,72.4
2017-06-20 21:02:04,71.4
2017-06-20 21:32:04,70.6
2017-06-20 22:02:03,70.5
2017-06-20 22:32:04,70.6
2017-06-20 23:02:04,83.3
2017-06-20 23:32:04,89.8
2017-06-21 00:02:03,92.7
2017-06-21 00:32:03,90.5
2017-06-21 01:02:03,89.1
2017-06-21 01:32:03,86.1
2017-06-21 02:02:04,84.3
2017-06-21 02:32:03,82.7
2017-06-21 03:02:03,83.2
2017-06-21 03:32:03,81.5
2017-06-21 04:02:04,83.1
2017-06-21 04:32:03,85.0
2017-06-21 05:02:04,85.3
2017-06-21 05:32:03,85.4
2017-06-21 06:02:04,83.8
2017-06-21 06:32:03,83.7
2017-06-21 07:02:03,82.5
2017-06-21 07:32:01,82.6
2017-06-21 08:02:02,81.0
2017-06-21 08:32:04,75.4
2017-06-21 09:02:04,72.4
2017-06-21 09:32:03,70.3
2017-06-21 10:02:04,66.2
2017-06-21 10:32:03,59.7
2017-06-21 11:02:04,56.5
2017-06-21 11:32:03,57.0
2017-06-21 12:02:03,55.4
2017-06-21 12:32:03,52.9
2017-06-21 13:02:03,53.3
2017-06-21 13:32:02,51.2
2017-06-21 14:02:00,49.2
2017-06-21 14:32:03,50.0
2017-06-21 15:02:03,46.3
2017-06-21 15:32:01,93.9
2017-06-21 16:02:03,99.9
2017-06-21 16:32:01,99.9
2017-06-21 17:02:04,99.9
2017-06-21 17:32:04,99.9
2017-06-21 18:02:03,99.9
2017-06-21 18:32:03,99.9
2017-06-21 19:02:04,99.9
2017-06-21 19:32:03,99.9
2017-06-21 20:02:03,99.9
2017-06-21 20:32:02,99.9
2017-06-21 21:02:02,99.9
2017-06-21 21:32:04,99.9
2017-06-21 22:02:04,99.9
2017-06-21 22:32:01,99.9
2017-06-21 23:02:04,99.9
2017-06-21 23:32:04,99.9
2017-06-22 00:02:02,99.9
2017-06-22 00:32:03,99.9
2017-06-22 01:02:03,99.9
2017-06-22 01:32:03,89.0
2017-06-22 02:02:04,88.0
2017-06-22 02:32:03,88.6
2017-06-22 03:02:03,89.8
2017-06-22 03:32:03,90.0
2017-06-22 04:02:03,91.7
2017-06-22 04:32:03,92.7
